Reference No.,Financial Year,Period,Occured Date,Occured Time,Location,Train Operating Company,Line,Signal name,Spad Type,Category,Incident Summary Notes,Initial Delay,Week No.
21005661,2011/12,1,01/04/2011,17:17,Dagenham East to Elm Park,London Underground,District Line,A965,Signal Overrun,Category A,Train Operator of eastbound Train 31 passed signal A965 at danger by less than one car. The operator was pre-occupied which led to loss of focus and late braking. The Service Controller was informed and the train was able to proceed under rule. The FRC were informed (Job 572039) and a Technical Officer confirmed correct operation of signal equipment.,6,1
21005662,2011/12,1,03/04/2011,15:04,Borough to Elephant & Castle,London Underground,Northern Line,A649A,Signal Overrun,Category A,Train Operator of southbound train 102 passed signal A649A at danger by 5 metres from front of the train. The correct procedure was carried out and Train Operator was given authority to continue under rule. The Train Operator failed to check the signal's aspect.,4,1
21005730,2011/12,1,04/04/2011,23:28,Plaistow to Upton Park,London Underground,Circle & Hammersmith Line,FC1,Signal Overrun,Category A,Train Operator of westbound Hammersmith & City line train 213 passed signal FC1 at danger by 60 metres from front of the train. The correct procedure was carried out and Train Operator was given authority to continue under rule. The Train Operator failed to react correctly to a caution signal.,6,1
21005733,2011/12,1,05/04/2011,04:40,Northwood to Northwood Hills,London Underground,Metropolitan Line,RGI,Signal Overrun,Category A,Train Operator of northbound Train 422 (A stock) passed signal an Illuminated Rail Gap Indicator without prior authority by less than one car. The Operator had viewed the wrong signal - read across.,0,1
21005744,2011/12,1,01/04/2011,22:01,Waterloo to Kennington,London Underground,Northern Line,A56,Signal Overrun,Category B,"Train Operator of northbound train 32 passed signal A56 at danger by less than one car. The signal track circuit 56A54 intermittently failed, causing signal A56 to remain at danger.",5,1
21005817,2011/12,1,05/04/2011,23:17,Finchley Central to East Finchley,London Underground,Northern Line,NP13,Signal Overrun,Category A,"Train Operator of northbound train 150 passed signal NP13 at danger without prior authority. The Train Operator was subsequently authorised to continue under rule. Awaiting investigation",3,1
21005818,2011/12,1,06/04/2011,06:39,Barons Court to West Kensington,London Underground,District Line,WC32,Signal Overrun,Category A,Train Operator of eastbound train 34 passed signal WC32 at danger by less than one car.The Train Operator misjudged the train's behaviour.,9,1
21005879,2011/12,1,06/04/2011,21:40,Gloucester Road To Earl's Court,London Underground,District Line,EC31A,Signal Overrun,Category A,Train Operator of westbound train 5 passed signal EC31A at danger by less than one car.The Train Operator failed to react correctly to a caution signal,5,1
21005880,2011/12,1,06/04/2011,21:52,Temple to Blackfriars,London Underground,District Line,A824,Signal Overrun,Category A,Train Operator of westbound train 20 passed signal A824 at danger by less than one car. The correct procedure was NOT carried out and the Train Operator violated rules / instructions.,5,1
21005881,2011/12,1,07/04/2011,06:18,West Brompton to Earl's Court,London Underground,District Line,EC9B,Signal Overrun,Category B,Train Operator of eastbound train 74 passed signal EC9B at danger by less than one car.The signal did not have a red aspect and re-lamping of the signal was arranged.,11,1
21005889,2011/12,1,07/04/2011,09:01,West Kensington,London Underground,District Line,WB34,Started Up Against,Category A,Train Operator of eastbound train 35 started up against signal WB34. The Train Operator had failed to check the signal's aspect.,27,1
21005898,2011/12,1,07/04/2011,10:18,Preston Road to Wembley Park,London Underground,Metropolitan Line,MG4B,Signal Overrun,Category A,Train Operator of southbound train 435 (A stock) passed signal MG4B at danger by less than one car.The Train Operator failed to react correctly to a caution signal.,4,1
21005980,2011/12,1,07/04/2011,15:44,Plaistow to Upton Park,London Underground,District Line,FC1,Signal Overrun,Category A,Train Operator of westbound train 17 (leading car number 7028) passed signal FC1 at danger by 30 metres; at a speed between 19-28 mph. A Technical Officer confirmed that the signal equipment was working correctly. The Train Operator stated that sunlight had washed out the signal aspect.,8,1
21006091,2011/12,1,08/04/2011,17:15,Goldhawk Road to Shepherd's Bush (H&C),London Underground,Circle & Hammersmith Line,A104A,Signal Overrun,Category A,Train Operator of westbound train 245 passed signal A104A at danger by less than one car. The Train Operator was coasting towards signal A104A and mistakenly anticipated it would clear.,3,1
21006092,2011/12,1,08/04/2011,18:00,Harrow-on-the-Hill to Northwick Park,London Underground,Metropolitan Line,A561,Signal Overrun,Category A,Train Operator of southbound train 423 passed signal A561 at danger by less than one car. The Train Operator failed to check the signal's aspect.,3,1
21006093,2011/12,1,09/04/2011,12:39,Chalfont & Latimer to Chorleywood,London Underground,Metropolitan Line,JT81,Signal Overrun,Category B,"Northbound train 410 passed signal JT81 at danger without prior authority, after the signal returned to danger on the train’s immediate approach due to an earth fault on the low voltage AC cabling.",4,1
21006094,2011/12,1,09/04/2011,17:23,Chalfont & Latimer to Chorleywood,London Underground,Metropolitan Line,JT81,Signal Overrun,Category B,"Northbound train 435 passed signal JT81 at danger without prior authority, after the signal returned to danger on the train’s immediate approach due to an earth fault on the low voltage AC cabling.",3,1
21006095,2011/12,1,09/04/2011,18:40,Turnham Green to Stamford Brook,London Underground,Piccadilly  Line,A635,Signal Overrun,Category A,Train Operator of eastbound Piccadilly line train 344 passed signal A635 at danger by less than one car. The Train Operator misjudged the train's behaviour.,3,1
21006096,2011/12,1,09/04/2011,20:25,South Ealing to Acton Town,London Underground,Piccadilly  Line,WR34A,Signal Overrun,Category A,Train Operator of westbound train 302 passed signal WR34A  at danger by less than one car.The Train Operator failed to react correctly to a caution signal.,4,1
21006099,2011/12,1,10/04/2011,10:21,Harrow-on-the-Hill,Other TOC,Chiltern Railways (for information),JB3,Started Up Against,Category A,Train Operator of northbound Chiltern line train 2B21 started up against signal JB3 / JB92. The appropriate rule was applied and Chiltern line advised.,2,2
21006101,2011/12,1,10/04/2011,19:17,Hatton Cross,London Underground,Piccadilly  Line,WW9,Started Up Against,Category A,Train Operator of westbound train 306 started-up against signal WW9 at danger by less than one car. The Train Operator failed to check the signal's aspect.,6,2
21006102,2011/12,1,10/04/2011,22:36,Chalfont & Latimer to Chorleywood,London Underground,Metropolitan Line,JT81,Signal Overrun,Category B,"Northbound train 412 passed signal JT81 at danger without prior authority, after the signal returned to danger on the train’s immediate approach due to an earth fault on the low voltage AC cabling.",4,2
21006122,2011/12,1,08/04/2011,17:20,Bank to London Bridge,London Underground,Northern Line,FNX636A,Signal Overrun,Category A,Train Operator of northbound train 11 passed signal FNX636A at danger by less than one car.The Train Operator failed to react correctly to a caution signal.,3,2
21006203,2011/12,1,11/04/2011,15:18,Barons Court to West Kensington,London Underground,District Line,WC32,Signal Overrun,Category A,Train Operator of eastbound train 56 passed signal WC32 at danger by less than one car.The Train Operator anticipated signal clearance but misjudged his speed.,12,2
21006204,2011/12,1,11/04/2011,19:31,Wood Green to Bounds Green,London Underground,Piccadilly  Line,X883,Signal Overrun,Category A,Train Operator of eastbound train 313 passed signal X883 at danger by less than one car.The Train Operator failed to react correctly to a caution signal.,5,2
21006220,2011/12,1,12/04/2011,08:07,Chalfont & Latimer to Chorleywood,London Underground,Metropolitan Line,JT82,Signal Overrun,Category B,"Northbound train 472 passed signal JT82 at danger without prior authority by 20 metres from front of the train, after the signal returned to danger on the train’s immediate approach due to an earth fault on the low voltage AC cabling.",5,2
21006336,2011/12,1,14/04/2011,01:18,Covent Garden,Tube Lines Ltd.,Tube Lines,A761,Signal Overrun,Category B,"Eastbound Engineers' train 632 passed station starter A761, when it returned to danger on the immediate approach.",1,2
21006396,2011/12,1,14/04/2011,09:43,Dagenham Heathway to Dagenham East,London Underground,District Line,FG23A,Signal Overrun,Category B,"Train Operator of eastbound train 5 passed signal FG23A, when it returned to danger on the immediate approach of the train.The Signaller returned the signal to danger in error.",9,2
